Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
Mahindra University,,Hyderabad (Telangana),Private University,H+,Indien
Maithili University/Vishwavidyalaya,,Darbhanga (Bihar),Nicht anerkannte Hochschule,H -,Indien
Majuli University of Culture,,Majuli (Assam),State University,H+,Indien
Makhanlal Chaturvedi National University of Journalism and CommunicationMakhanlal Chaturvedi National University of Jouralism and CommunicationMakhanlal Chaturvedi Rashtriya Patrakarita Avam Sanchar VishwavidyalayaMakhanlal University,Makhanlal Chaturvedi National University of Jouralism and Communication,Bhopal (Madhya Pradesh),State University,H+,Indien
Malaviya National Institute of TechnologyMalviya National Institute of Technology,,Jaipur (Rajasthan),Institution of National Importance,H+,Indien
Malla Reddy University,,Hyderabad (Telangana),Private University,H+,Indien
Malwanchal University,,Indore (Madhya Pradesh),Private University,H+,Indien
Manav Bharti University,,Kumarhatti (Himachal Pradesh),Status ungeklärt,H +/-,Indien
Manav Rachna Institute of Research & Studies,,Faridabad (Haryana),Deemed to be University,H+,Indien
Manav Rachna University,,Faridabad (Haryana),Private University,H+,Indien
Mandsaur University,,Mandsaur (Madhya Pradesh),Private University,H+,Indien
Mandya University,,Mandya (Karnataka),State University,H+,Indien
Mangalayatan University,,Aligarh (Uttar Pradesh),Private University,H+,Indien
Mangalayatan University,,Jabalpur (Madhya Pradesh),Status ungeklärt,H +/-,Indien
Mangalore University,,Mangalore (Karnataka),State University,H+,Indien
Manipal Academy of Higher EducationManipal University,,Manipal (Karnataka),Deemed to be University,H+,Indien
Manipal University Jaipur,,Jaipur (Rajasthan),Private University,H+,Indien
Manipur International University,,Imphal (Manipur),Status ungeklärt,H +/-,Indien
Manipur Technical University,,Imphal (Manipur),State University,H+,Indien
Manipur University,,Imphal (Manipur),Central University,H+,Indien
Manipur University of Culture,,Imphal (Manipur),State University,H+,Indien
Manonmaniam Sundaranar University,,Tirunelveli (Tamil Nadu),State University,H+,Indien
Mansarovar Global University,,Sehore (Madhya Pradesh),Status ungeklärt,H +/-,Indien
Martin Luther Christian University,,Shillong (Meghalaya),Private University,H+,Indien
Marwadi University,,Rajkot (Gujarat),Private University,H+,Indien
Mata Gujri University,,Kishanganj (Bihar),Private University,H+,Indien
MATS University,,Raipur (Chhattisgarh),Private University,H+,Indien
Maulana Abul Kalam Azad University of TechnologyWest Bengal University of Technology,,Kolkata (West Bengal),State University,H+,Indien
Maulana Azad National Institute of Technology,,Bhopal (Madhya Pradesh),Institution of National Importance,H+,Indien
Maulana Azad National Urdu University,,Hyderabad (Telangana),Central University,H+,Indien
Maulana Azad University,,Jodhpur (Rajasthan),Status ungeklärt,H +/-,Indien
Maulana Mazharul Haque Arabic and Persian University,,Patna (Bihar),State University,H+,Indien
MBM University,,Jodhpur (Rajasthan),State University,H+,Indien
Medhavi Skills University,,Singtam (Sikkim),Status ungeklärt,H +/-,Indien
Medi-Caps University,,Indore (Madhya Pradesh),Private University,H+,Indien
Meenakshi Academy of Higher Education and Research,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Mewar University,,Chittorgarh (Rajasthan),Private University,H+,Indien
MGM Institute of Health Science,,Mumbai (Maharashtra),Deemed to be University,H+,Indien
MGM University,,Aurangabad (Maharashtra),Private University,H+,Indien
MIT Art Design & Technology University,,Pune (Maharashtra),Private University,H+,Indien
MIT University MeghalayaMaharashtra Institute of Technology UniversityUniversity of Technology & Management (UTM),,Shillong (Meghalaya),Status ungeklärt,H +/-,Indien
Mizoram University,,Aizawl (Mizoram),Central University,H+,Indien
Mody University of Science and TechnologyMody Institute of Technology and Science (bis 2014),,Lakshmangarh (Rajasthan),Private University,H+,Indien
Mohammad Ali Jauhar University,,Rampur (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Mohanlal Sukhadia University,,Udaipur (Rajasthan),State University,H+,Indien
Monad University,,Hapur (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Monark University,,Ahmedabad (Gujarat),Status ungeklärt,H +/-,Indien
Morarji Desai National Institute of Yoga,,New Delhi (Delhi),Deemed to be University,H+,Indien
Mother Teresa Women's University,,Kodaikanal (Tamil Nadu),State University,H+,Indien
Motherhood University,,Roorkee (Uttarakhand),Status ungeklärt,H +/-,Indien
Motilal Nehru National Institute of Technology,,Allahabad (Uttar Pradesh),Institution of National Importance,H+,Indien
Munger University,,Munger (Bihar),State University,H+,Indien
Murshidabad University,,Murshidabad (West Bengal),State University,H+,Indien
MVN University,,Palwal (Haryana),Private University,H+,Indien
Nababharat Shiksha Parishad,,Rourkela (Odisha),Nicht anerkannte Hochschule,H -,Indien
Nagaland University,,Zunheboto (Nagaland),Central University,H+,Indien
Nalanda Open University,,Patna (Bihar),State University,H+,Indien
Nalanda University,,Nalanda (Bihar),Institution of National Importance,H+,Indien
NALSAR University of LawNational Academy of Legal Studies and Research University,,Hyderabad (Telangana),State University,H+,Indien
Nanaji Deshmukh Veterinary Science UniversityNanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidyalaya,,Jabalpur (Madhya Pradesh),State University,H+,Indien
National Brain Research Centre,,Gurugram (Haryana),Deemed to be University,H+,Indien
National Dairy Research Institute,,Karnal (Haryana),Deemed to be University,H+,Indien
National Forensic Sciences UniversityGujarat Forensic Sciences University,,Gandhinagar (Gujarat),Institution of National Importance,H+,Indien
National Institute of Advanced Manufacturing Technology,,Ranchi (Jharkhand),Deemed to be University,H+,Indien
National Institute of Ayurveda,,Jaipur (Rajasthan),Deemed to be University,H+,Indien
"National Institute of Design, Ahmedabad",,Ahmedabad (Gujarat),Institution of National Importance,H+,Indien
"National Institute of Design, Andhra Pradesh",,Vijayawada (Andhra Pradesh),Institution of National Importance,H+,Indien
"National Institute of Design, Assam",,Jorhat (Assam),Institution of National Importance,H+,Indien
"National Institute of Design, Bangalore",,Bangalore (Karnataka),Institution of National Importance,H+,Indien
"National Institute of Design, Gandhinagar",,Gandhinagar (Gujarat),Institution of National Importance,H+,Indien
"National Institute of Design, Haryana",,Kurukshetra (Haryana),Institution of National Importance,H+,Indien
"National Institute of Design, Madhya Pradesh",,Bhopal (Madhya Pradesh),Institution of National Importance,H+,Indien
National Institute of Educational Planning and Administration,,New Delhi (Delhi),Deemed to be University,H+,Indien
National Institute of Engineering and TechnologyNational Institute of Business Studies,,New Delhi (Delhi),Nicht anerkannte Hochschule,H -,Indien
National Institute of Fashion Technology,,New Delhi (Delhi),"Institution, staatlich anerkannt",H+,Indien
"National Institute of Food Technology, Entrepreneurship & Management, Sonepat",,Sonepat (Haryana),Institution of National Importance,H+,Indien
"National Institute of Food Technology, Entrepreneurship & Management, Thanjavur",,Thanjavur (Tamil Nadu),Institution of National Importance,H+,Indien
National Institute of Management Solutions,,New Delhi (Delhi),Nicht anerkannte Hochschule,H -,Indien
National Institute of Mental Health and Neuro Sciences,,Bangalore (Karnataka),Institution of National Importance,H+,Indien
"National Institute of Pharmaceutical Education and Research, Ahmedabad",,Ahmedabad (Gujarat),Institution of National Importance,H+,Indien
"National Institute of Pharmaceutical Education and Research, Guwahati",,Guwahati (Assam),Institution of National Importance,H+,Indien
"National Institute of Pharmaceutical Education and Research, Hajipur",,Hajipur (Bihar),Institution of National Importance,H+,Indien
"National Institute of Pharmaceutical Education and Research, Hyderabad",,Hyderabad (Telangana),Institution of National Importance,H+,Indien
"National Institute of Pharmaceutical Education and Research, Kolkata",,Kolkata (West Bengal),Institution of National Importance,H+,Indien
"National Institute of Pharmaceutical Education and Research, Raebareli",,Raebareli (Uttar Pradesh),Institution of National Importance,H+,Indien
"National Institute of Pharmaceutical Education and Research, S.A.S. Nagar",,S.A.S. Nagar / Mohali (Punjab),Institution of National Importance,H+,Indien
National Institute of Technical Teachers Training & Research,,Chandigarh (Chandigarh),Deemed to be University,H+,Indien
National Institute of Technical Teachers Training & Research,,Bhopal (Madhya Pradesh),Deemed to be University,H+,Indien
National Institute of Technical Teachers Training & Research,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
National Institute of Technical Teachers Training & Research,,Kolkata (West Bengal),Deemed to be University,H+,Indien
National Institute of Technology Agartala,,Agartala (Tripura),Institution of National Importance,H+,Indien
National Institute of Technology Andhra Pradesh,,Tadepalligudem (Andhra Pradesh),Institution of National Importance,H+,Indien
National Institute of Technology Arunachal Pradesh,,Yupia (Arunachal Pradesh),Institution of National Importance,H+,Indien
National Institute of Technology Calicut,,Calicut (Kerala),Institution of National Importance,H+,Indien
National Institute of Technology Delhi,,New Delhi (Delhi),Institution of National Importance,H+,Indien
National Institute of Technology Durgapur,,Durgapur (West Bengal),Institution of National Importance,H+,Indien
National Institute of Technology Goa,,Farmagudi (Goa),Institution of National Importance,H+,Indien
National Institute of Technology Hamirpur,,Hamirpur (Himachal Pradesh),Institution of National Importance,H+,Indien
National Institute of Technology Jamshedpur,,Jamshedpur (Jharkhand),Institution of National Importance,H+,Indien
National Institute of Technology Karnataka,,Suratkhal (Karnataka),Institution of National Importance,H+,Indien
National Institute of Technology Kurukshetra,,Kurukshetra (Haryana),Institution of National Importance,H+,Indien
National Institute of Technology Manipur,,Imphal (Manipur),Institution of National Importance,H+,Indien
National Institute of Technology Meghalaya,,Shillong (Meghalaya),Institution of National Importance,H+,Indien
National Institute of Technology Mizoram,,Aizawl (Mizoram),Institution of National Importance,H+,Indien
National Institute of Technology Nagaland,,Dimapur (Nagaland),Institution of National Importance,H+,Indien
National Institute of Technology Patna,,Patna (Bihar),Institution of National Importance,H+,Indien
National Institute of Technology Puducherry,,Karaikal (Puducherry),Institution of National Importance,H+,Indien
National Institute of Technology Raipur,,Raipur (Chhattisgarh),Institution of National Importance,H+,Indien
National Institute of Technology Rourkela,,Rourkela (Odisha),Institution of National Importance,H+,Indien
National Institute of Technology Sikkim,,Ravangla (Sikkim),Institution of National Importance,H+,Indien
National Institute of Technology Silchar,,Silchar (Assam),Institution of National Importance,H+,Indien
National Institute of Technology Srinagar,,Srinagar (Jammu & Kashmir),Institution of National Importance,H+,Indien
National Institute of Technology Tiruchirappalli,,Tiruchirappalli (Tamil Nadu),Institution of National Importance,H+,Indien
National Institute of Technology Uttarakhand,,Pauri Garhwal (Uttarakhand),Institution of National Importance,H+,Indien
National Institute of Technology Warangal,,Warangal (Andhra Pradesh),Institution of National Importance,H+,Indien
National Law Institute University,,Bhopal (Madhya Pradesh),State University,H+,Indien
National Law School of India University,,Bangalore (Karnataka),State University,H+,Indien
National Law University,,Jodhpur (Rajasthan),State University,H+,Indien
National Law University,,New Delhi (Delhi),State University,H+,Indien
National Law University,,Cuttack (Odisha),State University,H+,Indien
National Law University and Judicial Academy,,Guwahati (Assam),State University,H+,Indien
National Law University of Meghalaya,,Shillong (Meghalaya),State University,H+,Indien
"National Museum Institute of History of Art, Conservation and Museology",,New Delhi (Delhi),Deemed to be University,H+,Indien
National Rail and Transportation Institute,,Vadodara (Gujarat),Deemed to be University,H+,Indien
National Sanskrit UniversityRashtriya Sanskrit Vidyapeetha,,Tirupati (Andhra Pradesh),Central University,H+,Indien
National Sports University,,Imphal (Manipur),Central University,H+,Indien
National University of Advanced Legal Studies,,Kochi (Kerala),State University,H+,Indien
National University of Electro Complex Homeopathy,,Kanpur (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
National University of Study & Research in Law,,Ranchi (Jharkhand),State University,H+,Indien
Nava Nalanda Mahavihara,,Nalanda (Bihar),Deemed to be University,H+,Indien
Navabharath Educational Research Foundation,,Mangalore (Karnataka),Nicht anerkannte Hochschule,H -,Indien
Navrachana University,,Vadodara (Gujarat),Private University,H+,Indien
Navsari Agricultural UniversityGujarat Agricultural University,,Navsari (Gujarat),State University,H+,Indien
Nehru Gram Bharati,,Allahabad (Uttar Pradesh),Deemed to be University,H+,Indien
Netaji Subhas Open University,,Kolkata (West Bengal),State University,H+,Indien
Netaji Subhas University,,Jamshedpur (Jharkhand),Private University,H+,Indien
Netaji Subhas University of TechnologyNetaji Subhas Institute of Technology,,New Delhi (Delhi),State University,H+,Indien
Netaji Subhash Chandra Bose Institute of Higher Learning,,Port Blair (Andaman and Nicobar Islands),Deemed to be University,H+,Indien
Netaji Subhash Chandra Bose University (Open University),,Aligarh (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
NICMAR University,,Pune (Maharashtra),Status ungeklärt,H +/-,Indien
NIILM University,,Kaithal (Haryana),Status ungeklärt,H +/-,Indien
NIIT University,,Neemrana (Rajasthan),Private University,H+,Indien
Nilamer-Pitamber University,,Palamu (Jharkhand),State University,H+,Indien
NIMS University,,Jaipur (Rajasthan),Private University,H+,Indien
Nirma University,,Ahmedabad (Gujarat),Private University,H+,Indien
Nirwan University,,Jaipur (Rajasthan),Nicht anerkannte Hochschule,H -,Indien
NITTE,,Mangalore (Karnataka),Deemed to be University,H+,Indien
Nizam's Institute of Medical Sciences,,Hyderabad (Telangana),State University,H+,Indien
Noida International University,,Gautam Budh Nagar (Uttar Pradesh),Private University,H+,Indien
Noorul Islam Centre for Higher Eduation,,Kumaracoil (Tamil Nadu),Deemed to be University,H+,Indien
North East Adventist University,,Thadlaskein (Meghalaya),Status ungeklärt,H +/-,Indien
North East Christian University,,Dimapur (Nagaland),Status ungeklärt,H +/-,Indien
North East Frontier Technical University,,Aalo (Arunachal Pradesh),Status ungeklärt,H +/-,Indien
North Eastern Regional Institute of Science & Technology,,Itanagar (Arunachal Pradesh),Deemed to be University,H+,Indien
North Orissa University of Agriculture & Technology,,Baripada (Odisha),Nicht anerkannte Hochschule,H -,Indien
North-Eastern Hill University,,Shillong (Meghalaya),Central University,H+,Indien
Nrupathunga University,,Bengaluru (Karnataka),State University,H+,Indien
O.P. Jindal Global University,,Sonepat (Haryana),Private University,H+,Indien
O.P. Jindal University,,Raigarh (Chhattisgarh),Private University,H+,Indien
Odisha State Open University,,Sambalpur (Odisha),State University,H+,Indien
Odisha University of Health Sciences,,Bhubaneswar (Odisha),State University,H+,Indien
Odisha University of Technology and Research,,Bhubaneswar (Odisha),State University,H+,Indien
Om Sterling Global University,,Hisar (Haryana),Private University,H+,Indien
OPJS UniversityOm Parkash Jogender Singh University,,Churu (Rajasthan),Nicht anerkannte Hochschule,H -,Indien
Oriental University,,Indore (Madhya Pradesh),Private University,H+,Indien
Orissa University of Agriculture and TechnologyOdisha University of Agriculture & Technology,,Bhubaneswar (Odisha),State University,H+,Indien
Osmania University,,Hyderabad (Telangana),State University,H+,Indien
P P Savani University,,Surat (Gujarat),Private University,H+,Indien
P.K. University,,Shivpuri (Madhya Pradesh),Status ungeklärt,H +/-,Indien
P.V. Narsimha Rao Telangana Veterinary University,,Hyderabad (Telangana),State University,H+,Indien
Pacific Medical University,,Udaipur (Rajasthan),Private University,H+,Indien
Pacific UniversityPacific Academy of Higher Education and Research University,,Udaipur (Rajasthan),Status ungeklärt,H +/-,Indien
Padmashree Dr. D. Y. Patil VidyapeethD.Y. Patil Deemed to be UniversityDY Patil Deemed to be UniversityPadmashree Dr. D. Y. Patil University,,Navi Mumbai (Maharashtra),Deemed to be University,H+,Indien
Palamuru University,,Mahabubnagar (Telangana),State University,H+,Indien
Pandit Bhagwat Dayal Sharma University of Health Sciences,,Rohtak (Haryana),State University,H+,Indien
Pandit Deendayal Energy UniversityPandit Deendayal Petroleum University,,Gandhinagar (Gujarat),Private University,H+,Indien
Pandit Deendayal Upadhyaya Shekhawati UniversityShekhawati University,,Sikar (Rajasthan),State University,H+,Indien
Pandit Shambunath Shukla University,,Shahdol (Madhya Pradesh),State University,H+,Indien
Pandit Sundarlal Sharma (Open) University,,Bilaspur (Chhattisgarh),State University,H+,Indien
Panjab UniversityPunjab UniversityUniversity of the PanjabUniversity of the Punjab,,Chandigarh (Chandigarh),State University,H+,Indien
Parul University,,Vadodara (Gujarat),Private University,H+,Indien
Patliputra University,,Patna (Bihar),State University,H+,Indien
Patna University,,Patna (Bihar),State University,H+,Indien
Paurastya VidyapithamPontifical Oriental Institute of Religious Studies,,Kottayam (Kerala),Katholische Hochschule Kanonischen Rechts,H+,Indien
PDM University,,Bahadurgarh (Haryana),Status ungeklärt,H +/-,Indien
People's University,,Bhopal (Madhya Pradesh),Private University,H+,Indien
Periyar Maniammai Institute of Science & Technology,,Thanjavur (Tamil Nadu),Deemed to be University,H+,Indien
Periyar University,,Salem (Tamil Nadu),State University,H+,Indien
PES UniversityPES Institute of Technology,,Bangalore (Karnataka),Private University,H+,Indien
Plaksha University,,Mohali (Punjab),Status ungeklärt,H +/-,Indien
Plastindia International University,,Valsad (Gujarat),Status ungeklärt,H +/-,Indien
Pondicherry University,,Puducherry (Puducherry),Central University,H+,Indien
Ponnaiyah Ramajayam Institute of Science & Technology,,Thanjavur (Tamil Nadu),Deemed to be University,H+,Indien
"Pontifical Institute of Theology and Philosophy, AlwayeSt. Joseph Pontifical Seminary",,Alwaye (Kerala),Katholische Hochschule Kanonischen Rechts,H+,Indien
Poornima University,,Jaipur (Rajasthan),Private University,H+,Indien
Postgraduate Institute of Medical Education and ResearchPost Graduate Institute of Medical Education and Research,,Chandigarh (Chandigarh),Institution of National Importance,H+,Indien
Potti Sreeramulu Telugu University,,Hyderabad (Telangana),State University,H+,Indien
Pragyan International University,,Ranchi (Jharkhand),Nicht anerkannte Hochschule,H -,Indien
Pratap University,,Jaipur (Rajasthan),Status ungeklärt,H +/-,Indien
Pravara Institute of Medical Sciences,,Rahata (Maharashtra),Deemed to be University,H+,Indien
Presidency University Bangalore,,Bangalore (Karnataka),Private University,H+,Indien
Presidency University Kolkata,,Kolkata (West Bengal),State University,H+,Indien
"Prof. Rajendra Singh (Rajju Bhaiya) University, PrayagrajAllahabad State University",,Prayagraj (Uttar Pradesh),State University,H+,Indien
Professor Jayashankar Telangana State Agricultural University,,Hyderabad (Telangana),State University,H+,Indien
Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University of ChhattisgarhThe Ayush And Health Science University of Chhattisgarh,,Raipur (Chhattisgarh),State University,H+,Indien
Pt. Ravishankar Shukla UniversityPandit Ravishankar Shukla UniversityRavishankar University,,Raipur (Chhattisgarh),State University,H+,Indien
Puducherry Technological University,,Puducherry (Puducherry),State University,H+,Indien
Punjab Agricultural University,,Ludhiana (Punjab),State University,H+,Indien
Punjab Engineering CollegePEC University of Technology,,Chandigarh (Chandigarh),Deemed to be University,H+,Indien
Punjabi University,,Patiala (Punjab),State University,H+,Indien
Punyashlok Ahilyadevi Holkar Solapur UniversitySolapur University,,Solapur (Maharashtra),State University,H+,Indien
Purnea University,,Purnea (Bihar),State University,H+,Indien
Quantum University,,Roorkee (Uttarakhand),Status ungeklärt,H +/-,Indien
Rabindra Bharati University,,Kolkata (West Bengal),State University,H+,Indien
Rabindranath Tagore University BhopalAISECT University,,Bhopal (Madhya Pradesh),Private University,H+,Indien
Rabindranath Tagore University Hojai,,Hojai (Assam),State University,H+,Indien
Radha Govind University,,Ramgarh (Jharkhand),Status ungeklärt,H +/-,Indien
Raffles University,,Neemrana (Rajasthan),Status ungeklärt,H +/-,Indien
Rai Technology University,,Bangalore (Karnataka),Status ungeklärt,H +/-,Indien
Rai University,,Ahmedabad (Gujarat),Status ungeklärt,H +/-,Indien
Rai University Chhattisgarh,,,Nicht anerkannte Hochschule,H -,Indien
Raichur University,,Raichur (Karnataka),State University,H+,Indien
Raiganj University,,Raiganj (West Bengal),State University,H+,Indien
Raj Rishi Bhartrihari Matsya UniversityMatsya University,,Alwar (Rajasthan),State University,H+,Indien
Raja Arabic University,,Nagpur (Maharashtra),Nicht anerkannte Hochschule,H -,Indien
Raja Mahendra Pratap Singh State University,,Aligarh (Uttar Pradesh),State University,H+,Indien
Raja Mansingh Tomar Music & Arts University,,Gwalior (Madhya Pradesh),State University,H+,Indien
Raja Shankar Shah UniversityChhindwara University,,Chhindwara (Madhya Pradesh),State University,H+,Indien
Rajasthan ILD Skills University,,Jaipur (Rajasthan),State University,H+,Indien
Rajasthan Technical University,,Kota (Rajasthan),State University,H+,Indien
Rajasthan University of Health Sciences,,Jaipur (Rajasthan),State University,H+,Indien
Rajasthan University of Veterinary & Animal Sciences,,Bikaner (Rajasthan),State University,H+,Indien
Rajendra University,,Balangir (Odisha),State University,H+,Indien
"Rajiv Gandhi Institute of Petroleum Technology, Jais",,Amethi (Uttar Pradesh),Institution of National Importance,H+,Indien
Rajiv Gandhi National Aviation University,,Fursatganj (Uttar Pradesh),Central University,H+,Indien
Rajiv Gandhi National Institute of Youth Development,,Kanchipuram (Tamil Nadu),Institution of National Importance,H+,Indien
Rajiv Gandhi National University of Law,,Patiala (Punjab),State University,H+,Indien
Rajiv Gandhi Proudyogiki VishwavidyalayaUniversity of Technology of Madhya Pradesh,,Bhopal (Madhya Pradesh),State University,H+,Indien
Rajiv Gandhi University,,Itanagar (Arunachal Pradesh),Central University,H+,Indien
Rajiv Gandhi University of Health Sciences,,Bangalore (Karnataka),State University,H+,Indien
Rajiv Gandhi University of Knowledge Technologies,,Hyderabad (Telangana),State University,H+,Indien
Rajiv Gandhi University of Knowledge Technologies Andhra Pradesh,,Guntur (Andhra Pradesh),State University,H+,Indien
Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,,Gwalior (Madhya Pradesh),State University,H+,Indien
Rama Devi Women's University,,Bhubaneswar (Odisha),State University,H+,Indien
Rama University,,Kanpur (Uttar Pradesh),Private University,H+,Indien
Ramakrishna Mission Vivekananda Educational and Research Institute,,Howrah (West Bengal),Deemed to be University,H+,Indien
Ramchandra Chandravansi University,,Palamu (Jharkhand),Status ungeklärt,H +/-,Indien
Ranchi University,,Ranchi (Jharkhand),State University,H+,Indien
Rani Channamma University,,Belagavi (Karnataka),State University,H+,Indien
Rani Durgavati Vishwavidyalaya,,Jabalpur (Madhya Pradesh),State University,H+,Indien
Rani Lakshmi Bai Central Agricultural University,,Jhansi (Uttar Pradesh),Institution of National Importance,H+,Indien
Rani Rashmoni Green University,,Hooghly (West Bengal),State University,H+,Indien
Ras Bihari Bose Subharti University,,Dehradun (Uttarakhand),Status ungeklärt,H +/-,Indien
Rashtrasant Tukadoji Maharaj Nagpur UniversityNagpur University,,Nagpur (Maharashtra),State University,H+,Indien
Rashtriya Raksha UniversityRaksha Shakti University,,Gandhinagar (Gujarat),Institution of National Importance,H+,Indien
Ravenshaw Univesity,,Cuttack (Odisha),State University,H+,Indien
Rayalaseema University,,Kurnool (Andhra Pradesh),State University,H+,Indien
Rayat-Bahra University,,Mohali (Punjab),Private University,H+,Indien
"Regional Centre for Biotechnology, Faridabad",,Faridabad (Haryana),Institution of National Importance,H+,Indien
Renaissance University,,Indore (Madhya Pradesh),Private University,H+,Indien
REVA University,,Bangalore (Karnataka),Private University,H+,Indien
RIMT UNIVERSITY,,Mandi Gobindgarh (Punjab),Private University,H+,Indien
Rishihood University,,Sonepat (Haryana),Status ungeklärt,H +/-,Indien
RK UniversityR.K. University,,Rajkot (Gujarat),Private University,H+,Indien
RKDF University BhopalRam Krishna Dharmarth Foundation University,,Bhopal (Madhya Pradesh),Private University,H+,Indien
RKDF University Ranchi,,Ranchi (Jharkhand),Status ungeklärt,H +/-,Indien
RNB Global University,,Bikaner (Rajasthan),Private University,H+,Indien
Royal Global University,,Guwahati (Assam),Status ungeklärt,H +/-,Indien
RV University,,Bengaluru (Karnataka),Status ungeklärt,H +/-,Indien
Sabarmati UniversityCalorx Teacher's University,,Ahmedabad (Gujarat),Status ungeklärt,H +/-,Indien
Sadhu Ram Chand Murmu University of JhargramJhargram University,,Jhargram (West Bengal),State University,H+,Indien
Sage University,,Indore (Madhya Pradesh),Private University,H+,Indien
SAGE UniversitySanjeev Agrawal Global Educational University,,Bhopal (Madhya Pradesh),Status ungeklärt,H +/-,Indien
Sai Nath University,,Ranchi (Jharkhand),Status ungeklärt,H +/-,Indien
Sai Tirupati University,,Udaipur (Rajasthan),Private University,H+,Indien
Sai University,,Chennai (Tamil Nadu),Status ungeklärt,H +/-,Indien
Sam Global University,,Bhopal (Madhya Pradesh),Status ungeklärt,H +/-,Indien
"Sam Higginbottom (Deemed to be) University of Agriculture, Technology and SciencesAllahabad Agricultural Institute (bis Dezember 2016)",,Allahabad (Uttar Pradesh),Deemed to be University,H+,Indien
Sambalpur University,,Sambalpur (Odisha),State University,H+,Indien
Sammakka Sarakka Central Tribal University,,Mulugu (Telangana),Central University,H+,Indien
"Sampurnanand Sanskrit VishwavidyalayaVaranaseya Sanskrit VishwavidyalayaGovernment Sanskrit College, Varanasi",,Varanasi (Uttar Pradesh),State University,H+,Indien
Sanchi University of Buddhist-Indic Studies,,Bhopal (Madhya Pradesh),State University,H+,Indien
Sandip University,,Madhubani (Bihar),Status ungeklärt,H +/-,Indien
Sandip University,,Nashik (Maharashtra),Private University,H+,Indien
Sangai International University,,Churachandpur (Manipur),Nicht anerkannte Hochschule,H -,Indien
Sangam University,,Bhilwara (Rajasthan),Private University,H+,Indien
Sanjay Gandhi Postgraduate Institute of Medical Sciences,,Lucknow (Uttar Pradesh),"Institution, staatlich anerkannt",H+,Indien
Sanjay Ghodawat University,,Kolhapur (Maharashtra),Private University,H+,Indien
Sankalchand Patel University,,Visnagar (Gujarat),Private University,H+,Indien
Sanskriti University,,Mathura (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Sant Baba Bhag Singh University,,Jalandhar (Punjab),Private University,H+,Indien
Sant Gadge Baba Amravati UniversityAmravati University,,Amravati (Maharashtra),State University,H+,Indien
Sant Gahira Guru Vishwavidyalaya,,Ambikapur (Chhattigarh ),State University,H+,Indien
Sant Longowal Institute of Engineering and Technology,,Sangrur (Punjab),Deemed to be University,H+,Indien
Santosh,,Ghaziabad (Uttar Pradesh),Deemed to be University,H+,Indien
Sarala Birla University,,Ranchi (Jharkhand),Status ungeklärt,H +/-,Indien
Sardar Beant Singh State University,,Gurdaspur (Punjab),State University,H+,Indien
Sardar Bhagwan Singh University,,Dehradun (Uttarakhand),Status ungeklärt,H +/-,Indien
Sardar Patel University,,Vallabh Vidyanagar (Gujarat),State University,H+,Indien
Sardar Patel University Balaghat,,Balaghat (Madhya Pradesh),Private University,H+,Indien
Sardar Patel University MandiSardar Vallabhbhai Patel Cluster University,,Mandi (Himachal Pradesh),State University,H+,Indien
"Sardar Patel University of Police, Security and Criminal Justice",,Jodhpur (Rajasthan),State University,H+,Indien
Sardar Vallabh Bhai Patel University of Agriculture & Technology,,Meerut (Uttar Pradesh),State University,H+,Indien
"Sardar Vallabhbhai National Institute of Technology, Surat",,Surat (Gujarat),Institution of National Importance,H+,Indien
Sardarkrushinagar Dantiwada Agricultural UniversityGujarat Agricultural University,,Sardar Krushinagar (Gujarat),State University,H+,Indien
Sarvajanik University,,Surat (Gujarat),Status ungeklärt,H +/-,Indien
Sarvepalli Radhakrishnan University,,Bhopal (Madhya Pradesh),Private University,H+,Indien
Satavahana University,,Karimnagar (Telangana),State University,H+,Indien
Sathyabama Institute of Science and TechnologySathyabama University,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Satya Nilayam Institute of Philosophy and Culture,,Chennai (Tamil Nadu),Katholische Hochschule Kanonischen Rechts,H+,Indien
Saurashtra University,,Rajkot (Gujarat),State University,H+,Indien
Saveetha Amaravati University,,Vijayawada (Andhra Pradesh),Status ungeklärt,H +/-,Indien
Saveetha Institute of Medical and Technical SciencesSaveetha University,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Savitribai Phule Pune UniversityUniversity of Pune,,Pune (Maharashtra),State University,H+,Indien
School of Planning and Architecture Bhopal,,Bhopal (Madhya Pradesh),Institution of National Importance,H+,Indien
"School of Planning and Architecture, New Delhi",,New Delhi (Delhi),Institution of National Importance,H+,Indien
"School of Planning and Architecture, Vijayawada",,Vijayawada (Andhra Pradesh),Institution of National Importance,H+,Indien
